,#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,NETWORKSIZE
8829,f6cb2eff458f065858363e86515beaab,"is in Kuwait, soon to be at FOB Warhorse Iraq",1.33,2.58,2.5,3.83,3.5,85.0
1370,a6336ec5e11839ae33aee01fa2163652,"~ CDC latest report: Autism effects 1 in 110 children born each day. 1 in 70 boys. Put this in your status for 1 HOUR if you know someone with AUTISM. Let our children's voices be heard. Here's to 2010 increasing awareness, research and proactively finding answers.",1.35,4.75,2.85,4.55,4.4,99.0
1320,a6336ec5e11839ae33aee01fa2163652,is going to the pool later.,1.35,4.75,2.85,4.55,4.4,99.0
1321,a6336ec5e11839ae33aee01fa2163652,is writing a Psychology essay.,1.35,4.75,2.85,4.55,4.4,99.0
1322,a6336ec5e11839ae33aee01fa2163652,"~ ew, Chemistry.",1.35,4.75,2.85,4.55,4.4,99.0
1323,a6336ec5e11839ae33aee01fa2163652,is done with art and has nothing special going on anymore. ):.,1.35,4.75,2.85,4.55,4.4,99.0
1324,a6336ec5e11839ae33aee01fa2163652,"is better, I guess, and finishing up the last Psychology essays.",1.35,4.75,2.85,4.55,4.4,99.0
1325,a6336ec5e11839ae33aee01fa2163652,wants to cut her hair again.,1.35,4.75,2.85,4.55,4.4,99.0
1326,a6336ec5e11839ae33aee01fa2163652,is still finishing homework. On to Algebra II.,1.35,4.75,2.85,4.55,4.4,99.0
1327,a6336ec5e11839ae33aee01fa2163652,is going to art class.,1.35,4.75,2.85,4.55,4.4,99.0
1328,a6336ec5e11839ae33aee01fa2163652,is writing. ~ 50 page mark! ~,1.35,4.75,2.85,4.55,4.4,99.0
1329,a6336ec5e11839ae33aee01fa2163652,wants a keyboard.,1.35,4.75,2.85,4.55,4.4,99.0
1330,a6336ec5e11839ae33aee01fa2163652,is in German classs.,1.35,4.75,2.85,4.55,4.4,99.0
1331,a6336ec5e11839ae33aee01fa2163652,is sick. And also bored. Someone talk to meee...!,1.35,4.75,2.85,4.55,4.4,99.0
1332,a6336ec5e11839ae33aee01fa2163652,starts Psychology tomorrow.,1.35,4.75,2.85,4.55,4.4,99.0
1333,a6336ec5e11839ae33aee01fa2163652,"~ haha, *PROPNAME* is awesome. xD",1.35,4.75,2.85,4.55,4.4,99.0
1319,a6336ec5e11839ae33aee01fa2163652,~ Chemistryy is soo hardd!,1.35,4.75,2.85,4.55,4.4,99.0
